weight,age,height,size
58,53.0,162.56,L
63,35.0,172.72,L
61,48.0,172.72,L
58,51.0,160.02,L
70,21.0,175.26,L
68,26.0,165.1,L
58,33.0,167.64,L
62,31.0,165.1,L
68,36.0,167.64,L
58,30.0,160.02,L
58,39.0,170.18,L
74,39.0,167.64,L
65,26.0,172.72,L
68,30.0,170.18,L
65,32.0,160.02,L
61,54.0,152.4,L
64,49.0,172.72,L
63,33.0,162.56,L
59,35.0,160.02,L
78,34.0,177.8,L
61,25.0,165.1,L
68,20.0,177.8,L
56,35.0,162.56,L
58,31.0,162.56,L
61,20.0,175.26,L
58,25.0,160.02,L
61,23.0,165.1,L
61,38.0,167.64,L
58,26.0,165.1,L
63,27.0,172.72,L
72,32.0,172.72,L
63,36.0,175.26,L
63,29.0,157.48,L
72,31.0,170.18,L
65,31.0,167.64,L
73,29.0,177.8,L
56,33.0,154.94,L
58,40.0,167.64,L
61,28.0,162.56,L
58,43.0,165.1,L
59,27.0,157.48,L
63,27.0,175.26,L
56,35.0,170.18,L
58,48.0,160.02,L
61,35.0,160.02,L
61,27.0,177.8,L
68,31.0,170.18,L
61,25.0,162.56,L
58,39.0,160.02,L
60,38.0,160.02,L
70,29.0,185.42,L
63,31.0,172.72,L
61,32.0,160.02,L
58,29.0,154.94,L
61,37.0,165.1,L
63,28.0,170.18,L
61,25.0,165.1,L
58,35.0,165.1,L
63,32.0,172.72,L
58,36.0,160.02,L
57,40.0,157.48,L
61,28.0,170.18,L
70,30.0,170.18,L
66,34.0,157.48,L
65,34.0,167.64,L
61,28.0,157.48,L
67,28.0,175.26,L
68,26.0,167.64,L
69,27.0,167.64,L
63,31.0,165.1,L
56,48.0,165.1,L
56,27.0,152.4,L
61,33.0,170.18,L
56,32.0,170.18,L
63,43.0,175.26,L
64,29.0,172.72,L
68,24.0,172.72,L
70,43.0,180.34,L
63,26.0,165.1,L
70,34.0,175.26,L
58,25.0,160.02,L
59,30.0,170.18,L
63,29.0,170.18,L
57,31.0,162.56,L
61,26.0,165.1,L
61,31.0,157.48,L
63,50.0,167.64,L
68,30.0,162.56,L
72,31.0,175.26,L
58,40.0,167.64,L
58,29.0,165.1,L
61,40.0,175.26,L
62,32.0,160.02,L
61,51.0,172.72,L
63,19.0,172.72,L
58,32.0,162.56,L
56,56.0,167.64,L
63,44.0,165.1,L
65,19.0,162.56,L
60,45.0,162.56,L
65,49.0,157.48,L
63,33.0,160.02,L
61,27.0,177.8,L
61,32.0,160.02,L
58,26.0,170.18,L
63,35.0,170.18,L
61,27.0,170.18,L
68,31.0,162.56,L
65,35.0,165.1,L
72,29.0,175.26,L
58,39.0,177.8,L
55,39.0,152.4,L
64,41.0,175.26,L
59,38.0,172.72,L
61,57.0,167.64,L
56,31.0,160.02,L
61,27.0,157.48,L
68,30.0,162.56,L
61,37.0,167.64,L
61,47.0,167.64,L
63,28.0,172.72,L
65,29.0,170.18,L
65,25.0,170.18,L
61,35.0,172.72,L
58,26.0,157.48,L
54,39.0,170.18,L
56,35.0,154.94,L
65,40.0,175.26,L
61,33.0,167.64,L
62,29.0,157.48,L
58,40.0,165.1,L
60,30.0,167.64,L
68,23.0,172.72,L
70,34.0,167.64,L
54,45.0,167.64,L
65,28.0,162.56,L
63,29.0,172.72,L
58,30.0,157.48,L
65,29.0,162.56,L
68,33.0,160.02,L
63,31.0,160.02,L
55,34.0,157.48,L
61,29.0,157.48,L
58,29.0,170.18,L
58,39.0,175.26,L
65,27.0,175.26,L
60,63.0,172.72,L
62,33.0,157.48,L
73,44.0,177.8,L
60,39.0,167.64,L
63,39.0,167.64,L
70,32.0,172.72,L
70,27.0,180.34,L
68,30.0,167.64,L
61,32.0,160.02,L
61,29.0,167.64,L
70,29.0,160.02,L
56,32.0,157.48,L
58,35.0,167.64,L
65,26.0,162.56,L
63,42.0,170.18,L
63,32.0,162.56,L
68,28.0,175.26,L
62,35.0,167.64,L
61,39.0,170.18,L
60,33.0,157.48,L
61,27.0,172.72,L
61,30.0,157.48,L
63,48.0,162.56,L
58,29.0,154.94,L
61,42.0,172.72,L
68,44.0,170.18,L
60,38.0,167.64,L
63,33.0,175.26,L
62,28.0,160.02,L
58,28.0,152.4,L
62,32.0,160.02,L
58,32.0,157.48,L
63,28.0,175.26,L
65,29.0,172.72,L
68,27.0,177.8,L
58,30.0,162.56,L
63,25.0,180.34,L
65,29.0,175.26,L
58,26.0,167.64,L
68,33.0,172.72,L
58,31.0,167.64,L
58,30.0,160.02,L
63,29.0,157.48,L
70,52.0,177.8,L
72,45.0,170.18,L
70,32.0,165.1,L
65,46.0,157.48,L
64,28.0,175.26,L
60,41.0,172.72,L
58,41.0,162.56,L
64,35.0,167.64,L
63,23.0,157.48,L
61,27.0,172.72,L
63,34.0,180.34,L
72,28.0,172.72,L
72,34.0,170.18,L
58,30.0,165.1,L
63,35.0,170.18,L
65,30.0,167.64,L
63,33.0,167.64,L
65,41.0,142.24,L
63,28.0,175.26,L
65,49.0,165.1,L
58,30.0,165.1,L
63,42.0,170.18,L
61,29.0,182.88,L
62,52.0,170.18,L
70,35.0,177.8,L
61,28.0,165.1,L
66,34.0,162.56,L
61,40.0,160.02,L
63,28.0,160.02,L
70,28.0,180.34,L
65,29.0,167.64,L
52,30.0,154.94,L
63,28.0,162.56,L
65,33.0,167.64,L
58,31.0,172.72,L
74,28.0,170.18,L
61,30.0,160.02,L
58,28.0,167.64,L
63,20.0,170.18,L
61,30.0,157.48,L
61,33.0,170.18,L
68,27.0,170.18,L
61,31.0,170.18,L
65,25.0,167.64,L
61,32.0,160.02,L
68,32.0,165.1,L
70,43.0,172.72,L
63,30.0,165.1,L
65,26.0,160.02,L
63,29.0,160.02,L
63,38.0,162.56,L
65,36.0,175.26,L
58,29.0,167.64,L
56,32.0,165.1,L
63,29.0,167.64,L
63,38.0,160.02,L
65,34.0,167.64,L
61,32.0,172.72,L
63,33.0,170.18,L
63,43.0,167.64,L
58,37.0,160.02,L
62,33.0,167.64,L
61,36.0,170.18,L
53,56.0,154.94,L
62,43.0,165.1,L
58,31.0,165.1,L
68,26.0,170.18,L
58,41.0,167.64,L
65,31.0,167.64,L
65,27.0,170.18,L
61,39.0,165.1,L
63,28.0,170.18,L
64,52.0,170.18,L
61,30.0,177.8,L
65,31.0,175.26,L
52,68.0,160.02,L
56,46.0,157.48,L
61,32.0,167.64,L
68,33.0,180.34,L
61,37.0,167.64,L
64,42.0,172.72,L
61,36.0,170.18,L
59,37.0,157.48,L
63,28.0,160.02,L
57,29.0,154.94,L
70,35.0,172.72,L
63,28.0,167.64,L
68,28.0,172.72,L
63,35.0,167.64,L
58,38.0,157.48,L
62,34.0,172.72,L
68,38.0,167.64,L
68,32.0,162.56,L
72,26.0,172.72,L
64,31.0,175.26,L
65,35.0,180.34,L
61,33.0,160.02,L
58,42.0,160.02,L
61,36.0,162.56,L
61,29.0,165.1,L
63,27.0,167.64,L
74,32.0,170.18,L
61,40.0,162.56,L
61,37.0,170.18,L
65,26.0,177.8,L
61,31.0,175.26,L
63,28.0,160.02,L
68,27.0,182.88,L
61,45.0,160.02,L
65,43.0,167.64,L
63,35.0,167.64,L
62,33.0,160.02,L
58,41.0,162.56,L
65,42.0,187.96,L
58,44.0,162.56,L
50,39.0,160.02,L
65,31.0,177.8,L
72,30.0,180.34,L
68,29.0,175.26,L
70,30.0,172.72,L
60,45.0,165.1,L
61,31.0,167.64,L
58,35.0,160.02,L
63,30.0,167.64,L
70,40.0,172.72,L
72,31.0,175.26,L
70,29.0,175.26,L
56,30.0,157.48,L
58,25.0,160.02,L
58,34.0,154.94,L
57,57.0,167.64,L
58,36.0,162.56,L
63,36.0,165.1,L
70,30.0,162.56,L
63,32.0,167.64,L
74,31.0,172.72,L
63,40.0,162.56,L
58,39.0,170.18,L
65,53.0,170.18,L
55,41.0,157.48,L
61,48.0,165.1,L
61,54.0,170.18,L
61,33.0,167.64,L
64,34.0,170.18,L
63,27.0,165.1,L
63,34.0,167.64,L
63,34.0,175.26,L
61,43.0,167.64,L
56,49.0,165.1,L
55,32.0,162.56,L
68,31.0,172.72,L
60,35.0,165.1,L
65,27.0,170.18,L
65,25.0,167.64,L
58,34.0,160.02,L
72,39.0,172.72,L
58,44.0,160.02,L
58,29.0,170.18,L
61,35.0,160.02,L
59,23.0,162.56,L
68,40.0,172.72,L
63,37.0,172.72,L
63,40.0,165.1,L
81,29.0,167.64,L
63,32.0,167.64,L
58,35.0,165.1,L
61,50.0,160.02,L
63,42.0,162.56,L
63,27.0,162.56,L
63,28.0,177.8,L
63,28.0,170.18,L
61,36.0,175.26,L
57,45.0,162.56,L
43,19.0,157.48,L
61,27.0,170.18,L
61,34.0,162.56,L
58,36.0,162.56,L
62,27.0,170.18,L
61,43.0,167.64,L
61,29.0,167.64,L
70,45.0,172.72,L
64,30.0,167.64,L
63,33.0,175.26,L
63,40.0,162.56,L
58,36.0,167.64,L
61,28.0,152.4,L
58,27.0,165.1,L
62,29.0,162.56,L
63,27.0,165.1,L
61,41.0,162.56,L
48,43.0,157.48,L
58,32.0,162.56,L
72,25.0,167.64,L
68,36.0,180.34,L
70,20.0,170.18,L
61,33.0,165.1,L
58,31.0,160.02,L
72,35.0,162.56,L
64,32.0,172.72,L
61,28.0,167.64,L
72,30.0,162.56,L
63,41.0,167.64,L
61,35.0,157.48,L
63,41.0,167.64,L
58,30.0,157.48,L
68,37.0,165.1,L
56,32.0,157.48,L
68,29.0,172.72,L
58,37.0,165.1,L
61,28.0,160.02,L
58,30.0,170.18,L
58,34.0,167.64,L
54,30.0,165.1,L
63,30.0,170.18,L
72,29.0,160.02,L
63,23.0,167.64,L
61,35.0,170.18,L
63,42.0,177.8,L
61,32.0,160.02,L
65,29.0,167.64,L
56,32.0,165.1,L
70,29.0,180.34,L
61,34.0,167.64,L
63,29.0,167.64,L
58,28.0,162.56,L
56,43.0,165.1,L
70,25.0,167.64,L
70,25.0,172.72,L
61,29.0,162.56,L
65,28.0,165.1,L
58,32.0,157.48,L
58,31.0,167.64,L
61,34.0,167.64,L
68,29.0,162.56,L
62,50.0,167.64,L
60,28.0,175.26,L
61,31.0,170.18,L
56,27.0,157.48,L
59,30.0,175.26,L
63,31.0,170.18,L
63,30.0,157.48,L
56,51.0,165.1,L
61,36.0,170.18,L
63,29.0,157.48,L
61,34.0,172.72,L
63,34.0,170.18,L
58,29.0,162.56,L
54,38.0,154.94,L
70,37.0,175.26,L
58,32.0,157.48,L
74,30.0,170.18,L
67,38.0,165.1,L
62,52.0,170.18,L
70,28.0,167.64,L
58,33.0,167.64,L
56,43.0,160.02,L
61,32.0,172.72,L
54,34.0,154.94,L
61,27.0,160.02,L
68,33.0,165.1,L
61,30.0,177.8,L
68,33.0,162.56,L
68,32.0,160.02,L
61,41.0,162.56,L
65,36.0,167.64,L
56,49.0,157.48,L
63,43.0,162.56,L
58,32.0,172.72,L
68,35.0,162.56,L
61,30.0,162.56,L
68,35.0,170.18,L
63,39.0,170.18,L
70,32.0,170.18,L
63,40.0,162.56,L
65,28.0,165.1,L
61,29.0,152.4,L
62,34.0,162.56,L
72,21.0,167.64,L
61,42.0,160.02,L
61,22.0,160.02,L
68,26.0,175.26,L
63,33.0,172.72,L
58,37.0,165.1,L
65,29.0,172.72,L
58,31.0,165.1,L
55,33.0,175.26,L
68,27.0,180.34,L
70,36.0,172.72,L
65,25.0,162.56,L
65,24.0,172.72,L
64,28.0,167.64,L
62,42.0,162.56,L
58,35.0,167.64,L
61,28.0,170.18,L
56,32.0,165.1,L
59,43.0,170.18,L
58,36.0,170.18,L
53,31.0,162.56,L
58,28.0,165.1,L
62,24.0,162.56,L
63,48.0,167.64,L
68,38.0,175.26,L
68,29.0,175.26,L
67,32.0,170.18,L
63,50.0,167.64,L
68,36.0,175.26,L
65,28.0,172.72,L
65,31.0,175.26,L
59,29.0,170.18,L
63,38.0,172.72,L
58,31.0,154.94,L
67,28.0,170.18,L
70,33.0,177.8,L
70,32.0,162.56,L
65,28.0,170.18,L
57,41.0,165.1,L
61,26.0,165.1,L
65,33.0,165.1,L
54,43.0,160.02,L
65,31.0,172.72,L
63,33.0,167.64,L
58,26.0,165.1,L
61,24.0,160.02,L
61,32.0,162.56,L
61,45.0,165.1,L
65,31.0,175.26,L
65,41.0,162.56,L
58,41.0,170.18,L
61,42.0,170.18,L
56,42.0,170.18,L
65,25.0,177.8,L
58,52.0,170.18,L
58,48.0,165.1,L
65,33.0,170.18,L
62,30.0,170.18,L
61,26.0,167.64,L
56,26.0,152.4,L
61,25.0,170.18,L
56,33.0,162.56,L
57,56.0,162.56,L
65,28.0,177.8,L
61,37.0,162.56,L
65,24.0,177.8,L
57,47.0,160.02,L
72,28.0,177.8,L
58,34.0,162.56,L
68,31.0,167.64,L
62,32.0,162.56,L
63,25.0,162.56,L
58,27.0,162.56,L
64,33.0,165.1,L
58,25.0,167.64,L
58,29.0,170.18,L
62,33.0,165.1,L
60,42.0,177.8,L
63,27.0,172.72,L
58,38.0,160.02,L
68,29.0,160.02,L
58,26.0,167.64,L
68,34.0,167.64,L
64,37.0,167.64,L
65,29.0,182.88,L
52,25.0,154.94,L
60,36.0,172.72,L
60,42.0,167.64,L
68,28.0,172.72,L
58,32.0,170.18,L
61,32.0,172.72,L
63,43.0,157.48,L
58,32.0,175.26,L
61,20.0,175.26,L
60,35.0,170.18,L
65,28.0,162.56,L
58,37.0,172.72,L
70,32.0,175.26,L
56,66.0,160.02,L
56,54.0,170.18,L
54,44.0,162.56,L
61,33.0,170.18,L
63,30.0,162.56,L
54,33.0,154.94,L
68,42.0,167.64,L
61,48.0,172.72,L
65,30.0,167.64,L
58,31.0,167.64,L
63,37.0,170.18,L
58,35.0,162.56,L
65,24.0,170.18,L
59,36.0,180.34,L
63,34.0,167.64,L
74,37.0,180.34,L
60,34.0,170.18,L
61,23.0,162.56,L
56,36.0,170.18,L
65,55.0,165.1,L
65,47.0,175.26,L
58,45.0,167.64,L
61,27.0,160.02,L
63,23.0,152.4,L
63,24.0,177.8,L
65,27.0,175.26,L
57,37.0,162.56,L
58,33.0,165.1,L
58,46.0,165.1,L
63,34.0,175.26,L
62,44.0,162.56,L
65,27.0,167.64,L
65,46.0,160.02,L
61,29.0,157.48,L
58,51.0,152.4,L
58,32.0,167.64,L
65,34.0,157.48,L
61,48.0,170.18,L
56,31.0,157.48,L
54,47.0,157.48,L
61,26.0,170.18,L
68,33.0,172.72,L
52,31.0,154.94,L
58,32.0,170.18,L
59,33.0,170.18,L
63,31.0,167.64,L
61,31.0,175.26,L
63,20.0,165.1,L
61,40.0,170.18,L
75,30.0,182.88,L
65,31.0,170.18,L
65,37.0,177.8,L
53,47.0,154.94,L
58,36.0,162.56,L
60,51.0,160.02,L
62,56.0,165.1,L
56,34.0,165.1,L
77,34.0,162.56,L
55,31.0,160.02,L
62,28.0,170.18,L
70,34.0,165.1,L
61,25.0,157.48,L
57,51.0,157.48,L
61,29.0,157.48,L
58,34.0,170.18,L
63,51.0,162.56,L
61,38.0,165.1,L
60,39.0,165.1,L
56,29.0,162.56,L
63,31.0,157.48,L
58,25.0,167.64,L
58,31.0,165.1,L
63,28.0,162.56,L
63,33.0,177.8,L
65,30.0,165.1,L
72,33.0,170.18,L
56,41.0,157.48,L
62,25.0,167.64,L
63,26.0,167.64,L
54,19.0,157.48,L
61,21.0,157.48,L
61,35.0,149.86,L
58,48.0,167.64,L
61,25.0,160.02,L
52,27.0,157.48,L
59,32.0,165.1,L
58,28.0,167.64,L
57,34.0,177.8,L
62,45.0,162.56,L
62,25.0,160.02,L
56,27.0,170.18,L
61,33.0,165.1,L
62,46.0,160.02,L
65,36.0,165.1,L
58,39.0,160.02,L
63,27.0,157.48,L
70,30.0,167.64,L
56,39.0,167.64,L
56,62.0,162.56,L
57,33.0,147.32,L
65,41.0,167.64,L
58,41.0,170.18,L
65,25.0,165.1,L
55,35.0,170.18,L
58,39.0,152.4,L
58,48.0,167.64,L
64,39.0,160.02,L
61,30.0,157.48,L
65,31.0,160.02,L
58,35.0,167.64,L
61,33.0,165.1,L
63,28.0,170.18,L
63,50.0,170.18,L
61,33.0,165.1,L
68,48.0,180.34,L
70,29.0,182.88,L
67,37.0,162.56,L
56,31.0,160.02,L
63,25.0,177.8,L
58,42.0,165.1,L
61,35.0,165.1,L
68,29.0,167.64,L
60,38.0,160.02,L
63,35.0,165.1,L
65,34.0,167.64,L
65,29.0,165.1,L
66,37.0,175.26,L
61,25.0,160.02,L
47,25.0,157.48,L
80,30.0,175.26,L
50,25.0,160.02,L
58,50.0,175.26,L
58,31.0,167.64,L
61,37.0,170.18,L
58,31.0,170.18,L
58,48.0,170.18,L
63,35.0,167.64,L
70,29.0,170.18,L
58,18.0,162.56,L
61,32.0,175.26,L
65,33.0,182.88,L
63,31.0,172.72,L
58,53.0,160.02,L
65,37.0,175.26,L
64,31.0,165.1,L
65,26.0,172.72,L
61,36.0,170.18,L
54,35.0,167.64,L
65,25.0,167.64,L
61,32.0,162.56,L
65,35.0,167.64,L
58,35.0,154.94,L
68,31.0,175.26,L
65,32.0,165.1,L
70,35.0,172.72,L
61,40.0,177.8,L
65,49.0,165.1,L
68,30.0,170.18,L
65,33.0,172.72,L
63,39.0,172.72,L
65,28.0,167.64,L
72,40.0,175.26,L
54,24.0,152.4,L
63,43.0,165.1,L
65,40.0,167.64,L
56,32.0,165.1,L
63,53.0,167.64,L
62,30.0,165.1,L
68,30.0,162.56,L
63,35.0,162.56,L
56,25.0,167.64,L
53,46.0,157.48,L
56,39.0,160.02,L
63,29.0,157.48,L
56,65.0,170.18,L
63,34.0,175.26,L
61,30.0,167.64,L
60,31.0,165.1,L
56,33.0,162.56,L
65,28.0,170.18,L
61,28.0,162.56,L
52,40.0,160.02,L
59,47.0,172.72,L
68,28.0,177.8,L
70,36.0,162.56,L
62,26.0,170.18,L
62,28.0,165.1,L
63,29.0,170.18,L
65,36.0,165.1,L
61,36.0,170.18,L
65,35.0,172.72,L
63,37.0,154.94,L
58,49.0,157.48,L
61,35.0,165.1,L
61,40.0,172.72,L
58,38.0,162.56,L
49,23.0,154.94,M
61,20.0,170.18,M
61,31.0,167.64,M
53,31.0,162.56,M
63,40.0,162.56,M
59,32.0,170.18,M
58,31.0,165.1,M
60,34.0,162.56,M
52,36.0,160.02,M
58,36.0,162.56,M
61,37.0,167.64,M
65,45.0,160.02,M
52,30.0,160.02,M
63,33.0,177.8,M
68,38.0,157.48,M
61,29.0,162.56,M
58,38.0,172.72,M
52,29.0,157.48,M
58,39.0,165.1,M
56,39.0,167.64,M
58,32.0,167.64,M
57,35.0,167.64,M
61,32.0,177.8,M
63,30.0,165.1,M
56,30.0,152.4,M
62,27.0,160.02,M
61,36.0,172.72,M
56,33.0,165.1,M
65,35.0,177.8,M
63,30.0,170.18,M
63,36.0,165.1,M
56,29.0,167.64,M
54,22.0,162.56,M
61,29.0,165.1,M
61,92.0,170.18,M
64,25.0,175.26,M
56,33.0,170.18,M
63,28.0,170.18,M
63,33.0,167.64,M
58,30.0,157.48,M
61,26.0,175.26,M
63,23.0,172.72,M
58,52.0,165.1,M
63,27.0,177.8,M
50,32.0,162.56,M
61,31.0,167.64,M
56,21.0,167.64,M
57,22.0,165.1,M
63,24.0,170.18,M
52,33.0,162.56,M
54,38.0,160.02,M
58,26.0,157.48,M
61,32.0,170.18,M
61,35.0,170.18,M
58,39.0,170.18,M
58,31.0,160.02,M
60,39.0,167.64,M
58,32.0,165.1,M
70,32.0,172.72,M
56,30.0,167.64,M
62,32.0,165.1,M
62,34.0,167.64,M
61,39.0,170.18,M
63,30.0,165.1,M
63,37.0,170.18,M
63,30.0,165.1,M
58,28.0,157.48,M
63,37.0,170.18,M
58,34.0,162.56,M
58,36.0,170.18,M
49,29.0,160.02,M
61,31.0,170.18,M
55,29.0,157.48,M
68,40.0,180.34,M
56,28.0,157.48,M
54,32.0,162.56,M
61,28.0,172.72,M
60,40.0,172.72,M
61,18.0,165.1,M
52,30.0,160.02,M
63,31.0,175.26,M
68,35.0,170.18,M
63,34.0,170.18,M
61,18.0,165.1,M
63,31.0,170.18,M
56,31.0,157.48,M
63,33.0,172.72,M
63,32.0,160.02,M
58,30.0,165.1,M
68,31.0,167.64,M
54,25.0,162.56,M
56,31.0,160.02,M
61,35.0,160.02,M
56,27.0,160.02,M
49,26.0,165.1,M
63,33.0,172.72,M
55,33.0,165.1,M
61,28.0,157.48,M
56,20.0,177.8,M
56,40.0,165.1,M
56,34.0,154.94,M
56,35.0,167.64,M
61,41.0,165.1,M
50,32.0,167.64,M
58,29.0,157.48,M
63,32.0,172.72,M
63,45.0,162.56,M
56,32.0,157.48,M
62,31.0,170.18,M
58,31.0,167.64,M
54,26.0,170.18,M
56,23.0,157.48,M
58,57.0,172.72,M
61,32.0,170.18,M
56,38.0,167.64,M
58,23.0,165.1,M
57,30.0,172.72,M
54,34.0,170.18,M
56,36.0,165.1,M
58,24.0,167.64,M
63,22.0,170.18,M
48,26.0,162.56,M
56,31.0,167.64,M
54,35.0,170.18,M
58,25.0,160.02,M
68,27.0,160.02,M
61,33.0,167.64,M
55,31.0,162.56,M
58,27.0,157.48,M
56,30.0,154.94,M
63,35.0,172.72,M
58,32.0,172.72,M
58,30.0,160.02,M
54,49.0,175.26,M
58,36.0,167.64,M
61,31.0,167.64,M
63,26.0,180.34,M
58,31.0,170.18,M
58,27.0,162.56,M
56,29.0,170.18,M
61,28.0,162.56,M
56,31.0,160.02,M
54,33.0,165.1,M
61,49.0,162.56,M
58,22.0,177.8,M
58,33.0,162.56,M
58,31.0,170.18,M
47,29.0,160.02,M
63,25.0,165.1,M
58,35.0,160.02,M
58,26.0,170.18,M
65,39.0,165.1,M
54,56.0,162.56,M
62,21.0,170.18,M
63,28.0,177.8,M
58,34.0,175.26,M
47,53.0,162.56,M
65,24.0,177.8,M
68,31.0,180.34,M
63,33.0,175.26,M
53,33.0,157.48,M
54,36.0,157.48,M
58,35.0,175.26,M
56,33.0,167.64,M
54,31.0,162.56,M
